,ord,cls,desc,pounds,size,type
0,#,Emoji,number_sign,1.1 [1] (#️),1,data
1,*,Emoji,asterisk,1.1 [1] (*️),1,data
2,0,Emoji,digit_zero_digit_nine_0,1.1 [10] (0️..9️),1,data
3,1,Emoji,digit_zero_digit_nine_1,1.1 [10] (0️..9️),1,data
4,2,Emoji,digit_zero_digit_nine_2,1.1 [10] (0️..9️),1,data
5,3,Emoji,digit_zero_digit_nine_3,1.1 [10] (0️..9️),1,data
6,4,Emoji,digit_zero_digit_nine_4,1.1 [10] (0️..9️),1,data
7,5,Emoji,digit_zero_digit_nine_5,1.1 [10] (0️..9️),1,data
8,6,Emoji,digit_zero_digit_nine_6,1.1 [10] (0️..9️),1,data
9,7,Emoji,digit_zero_digit_nine_7,1.1 [10] (0️..9️),1,data
10,8,Emoji,digit_zero_digit_nine_8,1.1 [10] (0️..9️),1,data
11,9,Emoji,digit_zero_digit_nine_9,1.1 [10] (0️..9️),1,data
12,©,Emoji,copyright,1.1 [1] (©️),1,data
13,®,Emoji,registered,1.1 [1] (®️),1,data
14,‼,Emoji,double_exclamation_mark,1.1 [1] (‼️),1,data
15,⁉,Emoji,exclamation_question_mark,3.0 [1] (⁉️),1,data
16,™,Emoji,trade_mark,1.1 [1] (™️),1,data
17,ℹ,Emoji,information,3.0 [1] (ℹ️),1,data
18,↔,Emoji,left_right_arrow_down_left_arrow_0,1.1 [6] (↔️..↙️),1,data
19,↕,Emoji,left_right_arrow_down_left_arrow_1,1.1 [6] (↔️..↙️),1,data
20,↖,Emoji,left_right_arrow_down_left_arrow_2,1.1 [6] (↔️..↙️),1,data
21,↗,Emoji,left_right_arrow_down_left_arrow_3,1.1 [6] (↔️..↙️),1,data
22,↘,Emoji,left_right_arrow_down_left_arrow_4,1.1 [6] (↔️..↙️),1,data
23,↙,Emoji,left_right_arrow_down_left_arrow_5,1.1 [6] (↔️..↙️),1,data
24,↩,Emoji,right_arrow_curving_left_left_arrow_curving_right_0,1.1 [2] (↩️..↪️),1,data
25,↪,Emoji,right_arrow_curving_left_left_arrow_curving_right_1,1.1 [2] (↩️..↪️),1,data
26,⌚,Emoji,watch_hourglass_done_0,1.1 [2] (⌚..⌛),1,data
27,⌛,Emoji,watch_hourglass_done_1,1.1 [2] (⌚..⌛),1,data
28,⌨,Emoji,keyboard,1.1 [1] (⌨️),1,data
29,⏏,Emoji,eject_button,4.0 [1] (⏏️),1,data
30,⏩,Emoji,fast_forward_button_hourglass_not_done_0,6.0 [11] (⏩..⏳),1,data
31,⏪,Emoji,fast_forward_button_hourglass_not_done_1,6.0 [11] (⏩..⏳),1,data
32,⏫,Emoji,fast_forward_button_hourglass_not_done_2,6.0 [11] (⏩..⏳),1,data
33,⏬,Emoji,fast_forward_button_hourglass_not_done_3,6.0 [11] (⏩..⏳),1,data
34,⏭,Emoji,fast_forward_button_hourglass_not_done_4,6.0 [11] (⏩..⏳),1,data
35,⏮,Emoji,fast_forward_button_hourglass_not_done_5,6.0 [11] (⏩..⏳),1,data
36,⏯,Emoji,fast_forward_button_hourglass_not_done_6,6.0 [11] (⏩..⏳),1,data
37,⏰,Emoji,fast_forward_button_hourglass_not_done_7,6.0 [11] (⏩..⏳),1,data
38,⏱,Emoji,fast_forward_button_hourglass_not_done_8,6.0 [11] (⏩..⏳),1,data
39,⏲,Emoji,fast_forward_button_hourglass_not_done_9,6.0 [11] (⏩..⏳),1,data
40,⏳,Emoji,fast_forward_button_hourglass_not_done_10,6.0 [11] (⏩..⏳),1,data
41,⏸,Emoji,pause_button_record_button_0,7.0 [3] (⏸️..⏺️),1,data
42,⏹,Emoji,pause_button_record_button_1,7.0 [3] (⏸️..⏺️),1,data
43,⏺,Emoji,pause_button_record_button_2,7.0 [3] (⏸️..⏺️),1,data
44,Ⓜ,Emoji,circled_m,1.1 [1] (Ⓜ️),1,data
45,▪,Emoji,black_small_square_white_small_square_0,1.1 [2] (▪️..▫️),1,data
46,▫,Emoji,black_small_square_white_small_square_1,1.1 [2] (▪️..▫️),1,data
47,▶,Emoji,play_button,1.1 [1] (▶️),1,data
48,◀,Emoji,reverse_button,1.1 [1] (◀️),1,data
49,◻,Emoji,white_medium_square_black_medium_small_square_0,3.2 [4] (◻️..◾),1,data
50,◼,Emoji,white_medium_square_black_medium_small_square_1,3.2 [4] (◻️..◾),1,data
51,◽,Emoji,white_medium_square_black_medium_small_square_2,3.2 [4] (◻️..◾),1,data
52,◾,Emoji,white_medium_square_black_medium_small_square_3,3.2 [4] (◻️..◾),1,data
53,☀,Emoji,sun_comet_0,1.1 [5] (☀️..☄️),1,data
54,☁,Emoji,sun_comet_1,1.1 [5] (☀️..☄️),1,data
55,☂,Emoji,sun_comet_2,1.1 [5] (☀️..☄️),1,data
56,☃,Emoji,sun_comet_3,1.1 [5] (☀️..☄️),1,data
57,☄,Emoji,sun_comet_4,1.1 [5] (☀️..☄️),1,data
58,☎,Emoji,telephone,1.1 [1] (☎️),1,data
59,☑,Emoji,check_box_with_check,1.1 [1] (☑️),1,data
60,☔,Emoji,umbrella_with_rain_drops_hot_beverage_0,4.0 [2] (☔..☕),1,data
61,☕,Emoji,umbrella_with_rain_drops_hot_beverage_1,4.0 [2] (☔..☕),1,data
62,☘,Emoji,shamrock,4.1 [1] (☘️),1,data
63,☝,Emoji,index_pointing_up,1.1 [1] (☝️),1,data
64,☠,Emoji,skull_and_crossbones,1.1 [1] (☠️),1,data
65,☢,Emoji,radioactive_biohazard_0,1.1 [2] (☢️..☣️),1,data
66,☣,Emoji,radioactive_biohazard_1,1.1 [2] (☢️..☣️),1,data
67,☦,Emoji,orthodox_cross,1.1 [1] (☦️),1,data
68,☪,Emoji,star_and_crescent,1.1 [1] (☪️),1,data
69,☮,Emoji,peace_symbol_yin_yang_0,1.1 [2] (☮️..☯️),1,data
70,☯,Emoji,peace_symbol_yin_yang_1,1.1 [2] (☮️..☯️),1,data
71,☸,Emoji,wheel_of_dharma_smiling_face_0,1.1 [3] (☸️..☺️),1,data
72,☹,Emoji,wheel_of_dharma_smiling_face_1,1.1 [3] (☸️..☺️),1,data
73,☺,Emoji,wheel_of_dharma_smiling_face_2,1.1 [3] (☸️..☺️),1,data
74,♀,Emoji,female_sign,1.1 [1] (♀️),1,data
75,♂,Emoji,male_sign,1.1 [1] (♂️),1,data
76,♈,Emoji,aries_pisces_0,1.1 [12] (♈..♓),1,data
77,♉,Emoji,aries_pisces_1,1.1 [12] (♈..♓),1,data
78,♊,Emoji,aries_pisces_2,1.1 [12] (♈..♓),1,data
79,♋,Emoji,aries_pisces_3,1.1 [12] (♈..♓),1,data
80,♌,Emoji,aries_pisces_4,1.1 [12] (♈..♓),1,data
81,♍,Emoji,aries_pisces_5,1.1 [12] (♈..♓),1,data
82,♎,Emoji,aries_pisces_6,1.1 [12] (♈..♓),1,data
83,♏,Emoji,aries_pisces_7,1.1 [12] (♈..♓),1,data
84,♐,Emoji,aries_pisces_8,1.1 [12] (♈..♓),1,data
85,♑,Emoji,aries_pisces_9,1.1 [12] (♈..♓),1,data
86,♒,Emoji,aries_pisces_10,1.1 [12] (♈..♓),1,data
87,♓,Emoji,aries_pisces_11,1.1 [12] (♈..♓),1,data
88,♟,Emoji,chess_pawn_spade_suit_0,1.1 [2] (♟️..♠️),1,data
89,♠,Emoji,chess_pawn_spade_suit_1,1.1 [2] (♟️..♠️),1,data
90,♣,Emoji,club_suit,1.1 [1] (♣️),1,data
91,♥,Emoji,heart_suit_diamond_suit_0,1.1 [2] (♥️..♦️),1,data
92,♦,Emoji,heart_suit_diamond_suit_1,1.1 [2] (♥️..♦️),1,data
93,♨,Emoji,hot_springs,1.1 [1] (♨️),1,data
94,♻,Emoji,recycling_symbol,3.2 [1] (♻️),1,data
95,♾,Emoji,infinity_wheelchair_symbol_0,4.1 [2] (♾️..♿),1,data
96,♿,Emoji,infinity_wheelchair_symbol_1,4.1 [2] (♾️..♿),1,data
97,⚒,Emoji,hammer_and_pick_alembic_0,4.1 [6] (⚒️..⚗️),1,data
98,⚓,Emoji,hammer_and_pick_alembic_1,4.1 [6] (⚒️..⚗️),1,data
99,⚔,Emoji,hammer_and_pick_alembic_2,4.1 [6] (⚒️..⚗️),1,data
100,⚕,Emoji,hammer_and_pick_alembic_3,4.1 [6] (⚒️..⚗️),1,data
101,⚖,Emoji,hammer_and_pick_alembic_4,4.1 [6] (⚒️..⚗️),1,data
102,⚗,Emoji,hammer_and_pick_alembic_5,4.1 [6] (⚒️..⚗️),1,data
103,⚙,Emoji,gear,4.1 [1] (⚙️),1,data
104,⚛,Emoji,atom_symbol_fleur_de_lis_0,4.1 [2] (⚛️..⚜️),1,data
105,⚜,Emoji,atom_symbol_fleur_de_lis_1,4.1 [2] (⚛️..⚜️),1,data
106,⚠,Emoji,warning_high_voltage_0,4.0 [2] (⚠️..⚡),1,data
107,⚡,Emoji,warning_high_voltage_1,4.0 [2] (⚠️..⚡),1,data
108,⚪,Emoji,white_circle_black_circle_0,4.1 [2] (⚪..⚫),1,data
109,⚫,Emoji,white_circle_black_circle_1,4.1 [2] (⚪..⚫),1,data
110,⚰,Emoji,coffin_funeral_urn_0,4.1 [2] (⚰️..⚱️),1,data
111,⚱,Emoji,coffin_funeral_urn_1,4.1 [2] (⚰️..⚱️),1,data
112,⚽,Emoji,soccer_ball_baseball_0,5.2 [2] (⚽..⚾),1,data
113,⚾,Emoji,soccer_ball_baseball_1,5.2 [2] (⚽..⚾),1,data
114,⛄,Emoji,snowman_without_snow_sun_behind_cloud_0,5.2 [2] (⛄..⛅),1,data
115,⛅,Emoji,snowman_without_snow_sun_behind_cloud_1,5.2 [2] (⛄..⛅),1,data
116,⛈,Emoji,cloud_with_lightning_and_rain,5.2 [1] (⛈️),1,data
117,⛎,Emoji,ophiuchus,6.0 [1] (⛎),1,data
118,⛏,Emoji,pick,5.2 [1] (⛏️),1,data
119,⛑,Emoji,rescue_worker_s_helmet,5.2 [1] (⛑️),1,data
120,⛓,Emoji,chains_no_entry_0,5.2 [2] (⛓️..⛔),1,data
121,⛔,Emoji,chains_no_entry_1,5.2 [2] (⛓️..⛔),1,data
122,⛩,Emoji,shinto_shrine_church_0,5.2 [2] (⛩️..⛪),1,data
123,⛪,Emoji,shinto_shrine_church_1,5.2 [2] (⛩️..⛪),1,data
124,⛰,Emoji,mountain_sailboat_0,5.2 [6] (⛰️..⛵),1,data
125,⛱,Emoji,mountain_sailboat_1,5.2 [6] (⛰️..⛵),1,data
126,⛲,Emoji,mountain_sailboat_2,5.2 [6] (⛰️..⛵),1,data
127,⛳,Emoji,mountain_sailboat_3,5.2 [6] (⛰️..⛵),1,data
128,⛴,Emoji,mountain_sailboat_4,5.2 [6] (⛰️..⛵),1,data
129,⛵,Emoji,mountain_sailboat_5,5.2 [6] (⛰️..⛵),1,data
130,⛷,Emoji,skier_tent_0,5.2 [4] (⛷️..⛺),1,data
131,⛸,Emoji,skier_tent_1,5.2 [4] (⛷️..⛺),1,data
132,⛹,Emoji,skier_tent_2,5.2 [4] (⛷️..⛺),1,data
133,⛺,Emoji,skier_tent_3,5.2 [4] (⛷️..⛺),1,data
134,⛽,Emoji,fuel_pump,5.2 [1] (⛽),1,data
135,✂,Emoji,scissors,1.1 [1] (✂️),1,data
136,✅,Emoji,check_mark_button,6.0 [1] (✅),1,data
137,✈,Emoji,airplane_envelope_0,1.1 [2] (✈️..✉️),1,data
138,✉,Emoji,airplane_envelope_1,1.1 [2] (✈️..✉️),1,data
139,✊,Emoji,raised_fist_raised_hand_0,6.0 [2] (✊..✋),1,data
140,✋,Emoji,raised_fist_raised_hand_1,6.0 [2] (✊..✋),1,data
141,✌,Emoji,victory_hand_writing_hand_0,1.1 [2] (✌️..✍️),1,data
142,✍,Emoji,victory_hand_writing_hand_1,1.1 [2] (✌️..✍️),1,data
143,✏,Emoji,pencil,1.1 [1] (✏️),1,data
144,✒,Emoji,black_nib,1.1 [1] (✒️),1,data
145,✔,Emoji,check_mark,1.1 [1] (✔️),1,data
146,✖,Emoji,multiplication_sign,1.1 [1] (✖️),1,data
147,✝,Emoji,latin_cross,1.1 [1] (✝️),1,data
148,✡,Emoji,star_of_david,1.1 [1] (✡️),1,data
149,✨,Emoji,sparkles,6.0 [1] (✨),1,data
150,✳,Emoji,eight_spoked_asterisk_eight_pointed_star_0,1.1 [2] (✳️..✴️),1,data
151,✴,Emoji,eight_spoked_asterisk_eight_pointed_star_1,1.1 [2] (✳️..✴️),1,data
152,❄,Emoji,snowflake,1.1 [1] (❄️),1,data
153,❇,Emoji,sparkle,1.1 [1] (❇️),1,data
154,❌,Emoji,cross_mark,6.0 [1] (❌),1,data
155,❎,Emoji,cross_mark_button,6.0 [1] (❎),1,data
156,❓,Emoji,question_mark_white_exclamation_mark_0,6.0 [3] (❓..❕),1,data
157,❔,Emoji,question_mark_white_exclamation_mark_1,6.0 [3] (❓..❕),1,data
158,❕,Emoji,question_mark_white_exclamation_mark_2,6.0 [3] (❓..❕),1,data
159,❗,Emoji,exclamation_mark,5.2 [1] (❗),1,data
160,❣,Emoji,heart_exclamation_red_heart_0,1.1 [2] (❣️..❤️),1,data
161,❤,Emoji,heart_exclamation_red_heart_1,1.1 [2] (❣️..❤️),1,data
162,➕,Emoji,plus_sign_division_sign_0,6.0 [3] (➕..➗),1,data
163,➖,Emoji,plus_sign_division_sign_1,6.0 [3] (➕..➗),1,data
164,➗,Emoji,plus_sign_division_sign_2,6.0 [3] (➕..➗),1,data
165,➡,Emoji,right_arrow,1.1 [1] (➡️),1,data
166,➰,Emoji,curly_loop,6.0 [1] (➰),1,data
167,➿,Emoji,double_curly_loop,6.0 [1] (➿),1,data
168,⤴,Emoji,right_arrow_curving_up_right_arrow_curving_down_0,3.2 [2] (⤴️..⤵️),1,data
169,⤵,Emoji,right_arrow_curving_up_right_arrow_curving_down_1,3.2 [2] (⤴️..⤵️),1,data
170,⬅,Emoji,left_arrow_down_arrow_0,4.0 [3] (⬅️..⬇️),1,data
171,⬆,Emoji,left_arrow_down_arrow_1,4.0 [3] (⬅️..⬇️),1,data
172,⬇,Emoji,left_arrow_down_arrow_2,4.0 [3] (⬅️..⬇️),1,data
173,⬛,Emoji,black_large_square_white_large_square_0,5.1 [2] (⬛..⬜),1,data
174,⬜,Emoji,black_large_square_white_large_square_1,5.1 [2] (⬛..⬜),1,data
175,⭐,Emoji,star,5.1 [1] (⭐),1,data
176,⭕,Emoji,hollow_red_circle,5.2 [1] (⭕),1,data
177,〰,Emoji,wavy_dash,1.1 [1] (〰️),1,data
178,〽,Emoji,part_alternation_mark,3.2 [1] (〽️),1,data
179,㊗,Emoji,japanese_congratulations_button,1.1 [1] (㊗️),1,data
180,㊙,Emoji,japanese_secret_button,1.1 [1] (㊙️),1,data
181,🀄,Emoji,mahjong_red_dragon,5.1 [1] (🀄),1,data
182,🃏,Emoji,joker,6.0 [1] (🃏),1,data
183,🅰,Emoji,a_button_blood_type_b_button_blood_type__0,6.0 [2] (🅰️..🅱️),1,data
184,🅱,Emoji,a_button_blood_type_b_button_blood_type__1,6.0 [2] (🅰️..🅱️),1,data
185,🅾,Emoji,o_button_blood_type_,6.0 [1] (🅾️),1,data
186,🅿,Emoji,p_button,5.2 [1] (🅿️),1,data
187,🆎,Emoji,ab_button_blood_type_,6.0 [1] (🆎),1,data
188,🆑,Emoji,cl_button_vs_button_0,6.0 [10] (🆑..🆚),1,data
189,🆒,Emoji,cl_button_vs_button_1,6.0 [10] (🆑..🆚),1,data
190,🆓,Emoji,cl_button_vs_button_2,6.0 [10] (🆑..🆚),1,data
191,🆔,Emoji,cl_button_vs_button_3,6.0 [10] (🆑..🆚),1,data
192,🆕,Emoji,cl_button_vs_button_4,6.0 [10] (🆑..🆚),1,data
193,🆖,Emoji,cl_button_vs_button_5,6.0 [10] (🆑..🆚),1,data
194,🆗,Emoji,cl_button_vs_button_6,6.0 [10] (🆑..🆚),1,data
195,🆘,Emoji,cl_button_vs_button_7,6.0 [10] (🆑..🆚),1,data
196,🆙,Emoji,cl_button_vs_button_8,6.0 [10] (🆑..🆚),1,data
197,🆚,Emoji,cl_button_vs_button_9,6.0 [10] (🆑..🆚),1,data
198,🇦,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_0,6.0 [26] (🇦..🇿),1,data
199,🇧,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_1,6.0 [26] (🇦..🇿),1,data
200,🇨,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_2,6.0 [26] (🇦..🇿),1,data
201,🇩,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_3,6.0 [26] (🇦..🇿),1,data
202,🇪,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_4,6.0 [26] (🇦..🇿),1,data
203,🇫,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_5,6.0 [26] (🇦..🇿),1,data
204,🇬,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_6,6.0 [26] (🇦..🇿),1,data
205,🇭,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_7,6.0 [26] (🇦..🇿),1,data
206,🇮,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_8,6.0 [26] (🇦..🇿),1,data
207,🇯,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_9,6.0 [26] (🇦..🇿),1,data
208,🇰,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_10,6.0 [26] (🇦..🇿),1,data
209,🇱,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_11,6.0 [26] (🇦..🇿),1,data
210,🇲,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_12,6.0 [26] (🇦..🇿),1,data
211,🇳,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_13,6.0 [26] (🇦..🇿),1,data
212,🇴,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_14,6.0 [26] (🇦..🇿),1,data
213,🇵,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_15,6.0 [26] (🇦..🇿),1,data
214,🇶,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_16,6.0 [26] (🇦..🇿),1,data
215,🇷,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_17,6.0 [26] (🇦..🇿),1,data
216,🇸,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_18,6.0 [26] (🇦..🇿),1,data
217,🇹,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_19,6.0 [26] (🇦..🇿),1,data
218,🇺,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_20,6.0 [26] (🇦..🇿),1,data
219,🇻,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_21,6.0 [26] (🇦..🇿),1,data
220,🇼,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_22,6.0 [26] (🇦..🇿),1,data
221,🇽,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_23,6.0 [26] (🇦..🇿),1,data
222,🇾,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_24,6.0 [26] (🇦..🇿),1,data
223,🇿,Emoji,regional_indicator_symbol_letter_a_regional_indicator_symbol_letter_z_25,6.0 [26] (🇦..🇿),1,data
224,🈁,Emoji,japanese_here_button_japanese_service_charge_button_0,6.0 [2] (🈁..🈂️),1,data
225,🈂,Emoji,japanese_here_button_japanese_service_charge_button_1,6.0 [2] (🈁..🈂️),1,data
226,🈚,Emoji,japanese_free_of_charge_button,5.2 [1] (🈚),1,data
227,🈯,Emoji,japanese_reserved_button,5.2 [1] (🈯),1,data
228,🈲,Emoji,japanese_prohibited_button_japanese_open_for_business_button_0,6.0 [9] (🈲..🈺),1,data
229,🈳,Emoji,japanese_prohibited_button_japanese_open_for_business_button_1,6.0 [9] (🈲..🈺),1,data
230,🈴,Emoji,japanese_prohibited_button_japanese_open_for_business_button_2,6.0 [9] (🈲..🈺),1,data
231,🈵,Emoji,japanese_prohibited_button_japanese_open_for_business_button_3,6.0 [9] (🈲..🈺),1,data
232,🈶,Emoji,japanese_prohibited_button_japanese_open_for_business_button_4,6.0 [9] (🈲..🈺),1,data
233,🈷,Emoji,japanese_prohibited_button_japanese_open_for_business_button_5,6.0 [9] (🈲..🈺),1,data
234,🈸,Emoji,japanese_prohibited_button_japanese_open_for_business_button_6,6.0 [9] (🈲..🈺),1,data
235,🈹,Emoji,japanese_prohibited_button_japanese_open_for_business_button_7,6.0 [9] (🈲..🈺),1,data
236,🈺,Emoji,japanese_prohibited_button_japanese_open_for_business_button_8,6.0 [9] (🈲..🈺),1,data
237,🉐,Emoji,japanese_bargain_button_japanese_acceptable_button_0,6.0 [2] (🉐..🉑),1,data
238,🉑,Emoji,japanese_bargain_button_japanese_acceptable_button_1,6.0 [2] (🉐..🉑),1,data
239,🌀,Emoji,cyclone_shooting_star_0,6.0 [33] (🌀..🌠),1,data
240,🌁,Emoji,cyclone_shooting_star_1,6.0 [33] (🌀..🌠),1,data
241,🌂,Emoji,cyclone_shooting_star_2,6.0 [33] (🌀..🌠),1,data
242,🌃,Emoji,cyclone_shooting_star_3,6.0 [33] (🌀..🌠),1,data
243,🌄,Emoji,cyclone_shooting_star_4,6.0 [33] (🌀..🌠),1,data
244,🌅,Emoji,cyclone_shooting_star_5,6.0 [33] (🌀..🌠),1,data
245,🌆,Emoji,cyclone_shooting_star_6,6.0 [33] (🌀..🌠),1,data
246,🌇,Emoji,cyclone_shooting_star_7,6.0 [33] (🌀..🌠),1,data
247,🌈,Emoji,cyclone_shooting_star_8,6.0 [33] (🌀..🌠),1,data
248,🌉,Emoji,cyclone_shooting_star_9,6.0 [33] (🌀..🌠),1,data
249,🌊,Emoji,cyclone_shooting_star_10,6.0 [33] (🌀..🌠),1,data
250,🌋,Emoji,cyclone_shooting_star_11,6.0 [33] (🌀..🌠),1,data
251,🌌,Emoji,cyclone_shooting_star_12,6.0 [33] (🌀..🌠),1,data
252,🌍,Emoji,cyclone_shooting_star_13,6.0 [33] (🌀..🌠),1,data
253,🌎,Emoji,cyclone_shooting_star_14,6.0 [33] (🌀..🌠),1,data
254,🌏,Emoji,cyclone_shooting_star_15,6.0 [33] (🌀..🌠),1,data
255,🌐,Emoji,cyclone_shooting_star_16,6.0 [33] (🌀..🌠),1,data
256,🌑,Emoji,cyclone_shooting_star_17,6.0 [33] (🌀..🌠),1,data
257,🌒,Emoji,cyclone_shooting_star_18,6.0 [33] (🌀..🌠),1,data
258,🌓,Emoji,cyclone_shooting_star_19,6.0 [33] (🌀..🌠),1,data
259,🌔,Emoji,cyclone_shooting_star_20,6.0 [33] (🌀..🌠),1,data
260,🌕,Emoji,cyclone_shooting_star_21,6.0 [33] (🌀..🌠),1,data
261,🌖,Emoji,cyclone_shooting_star_22,6.0 [33] (🌀..🌠),1,data
262,🌗,Emoji,cyclone_shooting_star_23,6.0 [33] (🌀..🌠),1,data
263,🌘,Emoji,cyclone_shooting_star_24,6.0 [33] (🌀..🌠),1,data
264,🌙,Emoji,cyclone_shooting_star_25,6.0 [33] (🌀..🌠),1,data
265,🌚,Emoji,cyclone_shooting_star_26,6.0 [33] (🌀..🌠),1,data
266,🌛,Emoji,cyclone_shooting_star_27,6.0 [33] (🌀..🌠),1,data
267,🌜,Emoji,cyclone_shooting_star_28,6.0 [33] (🌀..🌠),1,data
268,🌝,Emoji,cyclone_shooting_star_29,6.0 [33] (🌀..🌠),1,data
269,🌞,Emoji,cyclone_shooting_star_30,6.0 [33] (🌀..🌠),1,data
270,🌟,Emoji,cyclone_shooting_star_31,6.0 [33] (🌀..🌠),1,data
271,🌠,Emoji,cyclone_shooting_star_32,6.0 [33] (🌀..🌠),1,data
272,🌡,Emoji,thermometer,7.0 [1] (🌡️),1,data
273,🌤,Emoji,sun_behind_small_cloud_wind_face_0,7.0 [9] (🌤️..🌬️),1,data
274,🌥,Emoji,sun_behind_small_cloud_wind_face_1,7.0 [9] (🌤️..🌬️),1,data
275,🌦,Emoji,sun_behind_small_cloud_wind_face_2,7.0 [9] (🌤️..🌬️),1,data
276,🌧,Emoji,sun_behind_small_cloud_wind_face_3,7.0 [9] (🌤️..🌬️),1,data
277,🌨,Emoji,sun_behind_small_cloud_wind_face_4,7.0 [9] (🌤️..🌬️),1,data
278,🌩,Emoji,sun_behind_small_cloud_wind_face_5,7.0 [9] (🌤️..🌬️),1,data
279,🌪,Emoji,sun_behind_small_cloud_wind_face_6,7.0 [9] (🌤️..🌬️),1,data
280,🌫,Emoji,sun_behind_small_cloud_wind_face_7,7.0 [9] (🌤️..🌬️),1,data
281,🌬,Emoji,sun_behind_small_cloud_wind_face_8,7.0 [9] (🌤️..🌬️),1,data
282,🌭,Emoji,hot_dog_burrito_0,8.0 [3] (🌭..🌯),1,data
283,🌮,Emoji,hot_dog_burrito_1,8.0 [3] (🌭..🌯),1,data
284,🌯,Emoji,hot_dog_burrito_2,8.0 [3] (🌭..🌯),1,data
285,🌰,Emoji,chestnut_cactus_0,6.0 [6] (🌰..🌵),1,data
286,🌱,Emoji,chestnut_cactus_1,6.0 [6] (🌰..🌵),1,data
287,🌲,Emoji,chestnut_cactus_2,6.0 [6] (🌰..🌵),1,data
288,🌳,Emoji,chestnut_cactus_3,6.0 [6] (🌰..🌵),1,data
289,🌴,Emoji,chestnut_cactus_4,6.0 [6] (🌰..🌵),1,data
290,🌵,Emoji,chestnut_cactus_5,6.0 [6] (🌰..🌵),1,data
291,🌶,Emoji,hot_pepper,7.0 [1] (🌶️),1,data
292,🌷,Emoji,tulip_baby_bottle_0,6.0 [70] (🌷..🍼),1,data
293,🌸,Emoji,tulip_baby_bottle_1,6.0 [70] (🌷..🍼),1,data
294,🌹,Emoji,tulip_baby_bottle_2,6.0 [70] (🌷..🍼),1,data
295,🌺,Emoji,tulip_baby_bottle_3,6.0 [70] (🌷..🍼),1,data
296,🌻,Emoji,tulip_baby_bottle_4,6.0 [70] (🌷..🍼),1,data
297,🌼,Emoji,tulip_baby_bottle_5,6.0 [70] (🌷..🍼),1,data
298,🌽,Emoji,tulip_baby_bottle_6,6.0 [70] (🌷..🍼),1,data
299,🌾,Emoji,tulip_baby_bottle_7,6.0 [70] (🌷..🍼),1,data
300,🌿,Emoji,tulip_baby_bottle_8,6.0 [70] (🌷..🍼),1,data
301,🍀,Emoji,tulip_baby_bottle_9,6.0 [70] (🌷..🍼),1,data
302,🍁,Emoji,tulip_baby_bottle_10,6.0 [70] (🌷..🍼),1,data
303,🍂,Emoji,tulip_baby_bottle_11,6.0 [70] (🌷..🍼),1,data
304,🍃,Emoji,tulip_baby_bottle_12,6.0 [70] (🌷..🍼),1,data
305,🍄,Emoji,tulip_baby_bottle_13,6.0 [70] (🌷..🍼),1,data
306,🍅,Emoji,tulip_baby_bottle_14,6.0 [70] (🌷..🍼),1,data
307,🍆,Emoji,tulip_baby_bottle_15,6.0 [70] (🌷..🍼),1,data
308,🍇,Emoji,tulip_baby_bottle_16,6.0 [70] (🌷..🍼),1,data
309,🍈,Emoji,tulip_baby_bottle_17,6.0 [70] (🌷..🍼),1,data
310,🍉,Emoji,tulip_baby_bottle_18,6.0 [70] (🌷..🍼),1,data
311,🍊,Emoji,tulip_baby_bottle_19,6.0 [70] (🌷..🍼),1,data
312,🍋,Emoji,tulip_baby_bottle_20,6.0 [70] (🌷..🍼),1,data
313,🍌,Emoji,tulip_baby_bottle_21,6.0 [70] (🌷..🍼),1,data
